run_id,decision_block,donor,temperature_C,time_h,ultrasound,mode,aw,protein_sugar_ratio,no_sugar_control,result_status,reduction_pct_vs_untreated_N,error_pct,source_workbook,source_file,source_sheet_or_label,sample_label,current_figure_panel,note
R01,matched hexose bridge,lactose,55,4,+US,dry,0.79,1:2 (w/w),no,available: direct exact,51.66,0.81,RPBG_4h_2026-03-20,2026.3.20-RPBG-4h-糖基化.xlsx,数据处理; lactose 55 C 4 h +US,lactose 55 C 4 h +US,Fig. 3a,Direct match to the planned 24-run condition.
R02,matched hexose bridge,glucose,55,4,+US,dry,0.79,1:2 (w/w),no,available: direct exact,59.91,2.62,RPBG_4h_2026-03-20,2026.3.20-RPBG-4h-糖基化.xlsx,数据处理; glucose 55 C 4 h +US,glucose 55 C 4 h +US,Fig. 3a,Direct match to the planned 24-run condition.
R03,matched hexose bridge,galactose,55,4,+US,dry,0.79,1:2 (w/w),no,available: direct exact,59.59,2.33,RPBG_4h_2026-03-20,2026.3.20-RPBG-4h-糖基化.xlsx,数据处理; galactose 55 C 4 h +US,galactose 55 C 4 h +US,Fig. 3a,Direct match to the planned 24-run condition.
R04,matched hexose bridge,mannose,55,4,+US,dry,0.79,1:2 (w/w),no,available: direct exact,65.40,1.76,RPBG_4h_2026-03-20,2026.3.20-RPBG-4h-糖基化.xlsx,数据处理; mannose 55 C 4 h +US,mannose 55 C 4 h +US,Fig. 3a,Direct match to the planned 24-run condition.
R05,matched hexose bridge,lactose,60,4,+US,dry,0.79,1:2 (w/w),no,available: direct exact,56.59,2.57,RPBG_4h_2026-03-20,2026.3.20-RPBG-4h-糖基化.xlsx,数据处理; lactose 60 C 4 h +US,lactose 60 C 4 h +US,Fig. 3a,Direct match to the planned 24-run condition.
R06,matched hexose bridge,glucose,60,4,+US,dry,0.79,1:2 (w/w),no,available: direct exact,60.15,1.52,RPBG_4h_2026-03-20,2026.3.20-RPBG-4h-糖基化.xlsx,数据处理; glucose 60 C 4 h +US,glucose 60 C 4 h +US,Fig. 3a,Direct match to the planned 24-run condition.
R07,matched hexose bridge,galactose,60,4,+US,dry,0.79,1:2 (w/w),no,available: direct exact,61.31,2.99,RPBG_4h_2026-03-20,2026.3.20-RPBG-4h-糖基化.xlsx,数据处理; galactose 60 C 4 h +US,galactose 60 C 4 h +US,Fig. 3a,Direct match to the planned 24-run condition.
R08,matched hexose bridge,mannose,60,4,+US,dry,0.79,1:2 (w/w),no,available: direct exact,68.15,0.69,RPBG_4h_2026-03-20,2026.3.20-RPBG-4h-糖基化.xlsx,数据处理; mannose 60 C 4 h +US,mannose 60 C 4 h +US,Fig. 3a,Direct match to the planned 24-run condition.
R09,hexose no-ultrasound sentinel,lactose,55,4,no US,dry,0.79,1:2 (w/w),no,available: direct exact,46.94,3.30,ELISA_2026-06-15,ELISA-2026.6.15.xlsx,Sheet1; 乳糖-4h,乳糖-4h,Fig. 3a,Supplemented from ELISA-2026.6.15.xlsx; user confirmed this label denotes the no-ultrasound 55 C 4 h sentinel.
R10,hexose no-ultrasound sentinel,glucose,55,4,no US,dry,0.79,1:2 (w/w),no,available: direct exact,58.10,2.31,ELISA_2026-06-15,ELISA-2026.6.15.xlsx,Sheet1; 葡萄糖-4h,葡萄糖-4h,Fig. 3a,Supplemented from ELISA-2026.6.15.xlsx; user confirmed this label denotes the no-ultrasound 55 C 4 h sentinel.
R11,hexose no-ultrasound sentinel,galactose,55,4,no US,dry,0.79,1:2 (w/w),no,available: direct exact,55.78,2.51,ELISA_2026-06-15,ELISA-2026.6.15.xlsx,Sheet1; 半乳糖-4h,半乳糖-4h,Fig. 3a,Supplemented from ELISA-2026.6.15.xlsx; user confirmed this label denotes the no-ultrasound 55 C 4 h sentinel.
R12,hexose no-ultrasound sentinel,mannose,55,4,no US,dry,0.79,1:2 (w/w),no,available: direct exact,62.25,2.62,ELISA_2026-06-15,ELISA-2026.6.15.xlsx,Sheet1; 甘露糖-4h,甘露糖-4h,Fig. 3a,Supplemented from ELISA-2026.6.15.xlsx; user confirmed this label denotes the no-ultrasound 55 C 4 h sentinel.
R13,benchmark anchor,lactose,60,2,+US,dry,0.79,1:2 (w/w),no,available: direct exact,81.52,2.29,dry_2h_allergenicity_2026-01-21,2026.1.21 β-Lg-糖基化-致敏.xlsx,数据整理; lactose 60 C 2 h +US,lactose 60 C 2 h +US,Fig. 3b,Source table does not print temperature; user confirmed the condition matches.
R14,benchmark anchor,glucose,60,2,+US,dry,0.79,1:2 (w/w),no,available: direct exact,70.02,3.31,dry_2h_allergenicity_2026-01-21,2026.1.21 β-Lg-糖基化-致敏.xlsx,数据整理; glucose 60 C 2 h +US,glucose 60 C 2 h +US,Fig. 3b,Source table does not print temperature; user confirmed the condition matches.
R15,practical anchor,lactose,55,3,+US,dry,0.79,1:2 (w/w),no,available: direct exact,61.63,1.10,timecourse_2026-03-19,2026.3.19-单糖二糖-糖基化-数据整理.xlsx,Sheet1; lactose 55 C 3 h +US,lactose 55 C 3 h +US,Fig. 3b,Source table does not print temperature; user confirmed the condition matches.
R16,practical anchor,glucose,55,3,+US,dry,0.79,1:2 (w/w),no,available: direct exact,70.99,1.99,timecourse_2026-03-19,2026.3.19-单糖二糖-糖基化-数据整理.xlsx,Sheet1; glucose 55 C 3 h +US,glucose 55 C 3 h +US,Fig. 3b,Source table does not print temperature; user confirmed the condition matches.
R17,pentose branch,arabinose,55,2,+US,dry,0.79,1:2 (w/w),no,available: direct exact,67.50,2.73,dry_2h_allergenicity_2026-01-21,2026.1.21 β-Lg-糖基化-致敏.xlsx,数据整理; arabinose 55 C 2 h +US,arabinose 55 C 2 h +US,Fig. 3b,Source table does not print temperature; user confirmed the condition matches.
